last_visible_target,train_images,coverage_ratio,rarity_weight
T9,2,0.010752688172043012,5.612486080160912
T7,2,0.010752688172043012,5.612486080160912
T6,3,0.016129032258064516,4.58257569495584
T8,5,0.026881720430107527,3.5496478698597698
L1,8,0.043010752688172046,2.806243040080456
L2,14,0.07526881720430108,2.1213203435596424
T11,14,0.07526881720430108,2.1213203435596424
T12,14,0.07526881720430108,2.1213203435596424
T10,16,0.08602150537634409,1.984313483298443
L3,22,0.11827956989247312,1.6922282244532987
L4,23,0.12365591397849462,1.6550318531021113
L5,63,0.3387096774193548,1.0
