class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7449674.0,7239002.0,0.9490244049225438,0.9029937606235356,background
1,T1,82124.0,68688.0,0.671312627644542,0.5052449820891572,thoracic
2,T2,101449.0,124505.0,0.5317631022264188,0.3621779993648174,thoracic
3,T3,150428.0,121779.0,0.3733188345657043,0.22949723799676824,thoracic
4,T4,95503.0,121576.0,0.17275738326059747,0.09454539954472115,thoracic
5,T5,107089.0,113781.0,0.20372164622083705,0.1134131833166303,thoracic
6,T6,122506.0,121046.0,0.15218926554020418,0.08236193388521697,thoracic
7,T7,114539.0,127588.0,0.23149834591255208,0.13090083652514045,thoracic
8,T8,138742.0,115384.0,0.19853143716424715,0.11020532984224463,thoracic
9,T9,83021.0,127056.0,0.26454109683942295,0.15243293653435497,thoracic
10,T10,61838.0,120484.0,0.2688649751578588,0.15531138317013085,thoracic
11,T11,97682.0,125391.0,0.31595934963300815,0.18761978789989128,thoracic
12,T12,109987.0,144898.0,0.37946524903631257,0.23416051325876208,thoracic
13,L1,112147.0,118887.0,0.4339707575532866,0.2771153601693885,lumbar
14,L2,101118.0,122013.0,0.4242261272551809,0.2692176425793266,lumbar
15,L3,115230.0,120040.0,0.5424491010348006,0.3721647740895948,lumbar
16,L4,99040.0,105729.0,0.5931757248431492,0.4216416615215421,lumbar
17,L5,73883.0,78153.0,0.5511194717070225,0.38037606341525526,lumbar
