unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_4.jpg,1,T1,1,2130,132.72582159624415,181.1455399061033
Normal__N_4.jpg,2,T2,1,1341,149.10738255033556,186.38851603281134
Normal__N_4.jpg,3,T3,3,1119,166.3378016085791,185.6621983914209
Normal__N_4.jpg,3,T3,10,49,183.30612244897958,179.3469387755102
Normal__N_4.jpg,4,T4,1,144,162.47222222222223,234.92361111111111
Normal__N_4.jpg,4,T4,22,133,178.66917293233084,145.35338345864662
Normal__N_4.jpg,4,T4,24,35,175.25714285714287,211.94285714285715
Normal__N_4.jpg,5,T5,1,113,159.79646017699116,169.9203539823009
Normal__N_4.jpg,5,T5,2,186,160.6451612903226,198.86021505376345
Normal__N_4.jpg,5,T5,18,2968,193.55896226415095,190.17419137466308
Normal__N_4.jpg,5,T5,63,288,257.33680555555554,176.89236111111111
Normal__N_4.jpg,6,T6,4,563,209.2557726465364,163.02486678507992
Normal__N_4.jpg,6,T6,7,487,212.88911704312116,216.1971252566735
Normal__N_4.jpg,6,T6,70,140,288.8857142857143,173.7642857142857
Normal__N_4.jpg,6,T6,95,341,310.6217008797654,168.51906158357772
Normal__N_4.jpg,7,T7,4,2366,240.96576500422654,192.49746407438715
Normal__N_4.jpg,7,T7,12,394,259.53553299492387,159.7284263959391
Normal__N_4.jpg,7,T7,28,113,282.50442477876106,153.83185840707964
Normal__N_4.jpg,7,T7,29,86,282.0813953488372,170.34883720930233
Normal__N_4.jpg,8,T8,1,890,275.32808988764043,203.86966292134832
Normal__N_4.jpg,8,T8,9,58,284.41379310344826,142.81034482758622
Normal__N_4.jpg,8,T8,38,64,294.90625,151.71875
Normal__N_4.jpg,8,T8,47,82,304.1585365853659,153.34146341463415
Normal__N_4.jpg,9,T9,1,955,299.8523560209424,201.02094240837695
Normal__N_4.jpg,9,T9,2,406,313.4310344827586,144.6551724137931
Normal__N_4.jpg,10,T10,2,631,322.5388272583201,199.63549920760698
Normal__N_4.jpg,10,T10,4,191,320.020942408377,135.14659685863873
Normal__N_4.jpg,10,T10,13,91,329.4065934065934,166.3846153846154
Normal__N_4.jpg,10,T10,14,35,332.51428571428573,117.65714285714286
Normal__N_4.jpg,11,T11,1,2464,342.5328733766234,162.22808441558442
Normal__N_4.jpg,11,T11,14,54,362.4074074074074,174.7962962962963
Normal__N_4.jpg,12,T12,1,5326,378.92639879834775,172.06890724746526
Normal__N_4.jpg,12,T12,2,121,408.2809917355372,114.37190082644628
Normal__N_4.jpg,13,L1,1,4456,420.7071364452424,160.35345601436265
Normal__N_4.jpg,13,L1,13,61,449.8688524590164,210.86885245901638
Normal__N_4.jpg,13,L1,14,52,457.9230769230769,164.34615384615384
Normal__N_4.jpg,14,L2,3,3432,457.1640442890443,156.99358974358975
Normal__N_4.jpg,15,L3,1,93,464.9032258064516,104.0752688172043
Normal__N_4.jpg,15,L3,2,4670,491.84603854389724,155.3847965738758
Normal__N_4.jpg,15,L3,3,30,470.3666666666667,221.43333333333334
Normal__N_4.jpg,15,L3,6,109,524.7247706422019,219.22018348623854
Normal__N_4.jpg,16,L4,4,45,507.75555555555553,183.64444444444445
Normal__N_4.jpg,16,L4,5,5081,532.0677032080299,154.71974020862035
Normal__N_4.jpg,16,L4,9,49,564.795918367347,166.69387755102042
Normal__N_4.jpg,17,L5,1,6831,571.460401112575,159.959010393793
Normal__N_4.jpg,17,L5,2,58,549.4827586206897,87.03448275862068
Normal__N_6.jpg,1,T1,1,2828,92.06046676096182,192.83380480905234
Normal__N_6.jpg,2,T2,1,36,99.80555555555556,185.16666666666666
Normal__N_6.jpg,2,T2,2,1811,113.4240750966317,189.12865819988957
Normal__N_6.jpg,2,T2,7,32,132.5625,181.71875
Normal__N_6.jpg,3,T3,1,2844,139.06926863572434,194.05414908579465
Normal__N_6.jpg,4,T4,12,1963,170.6225165562914,206.40855832908812
Normal__N_6.jpg,4,T4,20,31,151.48387096774192,197.29032258064515
Normal__N_6.jpg,5,T5,10,1748,200.32151029748283,211.4673913043478
Normal__N_6.jpg,6,T6,1,724,219.32044198895028,208.87154696132598
Normal__N_6.jpg,6,T6,8,94,223.93617021276594,162.0
Normal__N_6.jpg,7,T7,1,3262,241.15542611894543,197.9064990803188
Normal__N_6.jpg,7,T7,3,49,220.42857142857142,160.3877551020408
Normal__N_6.jpg,8,T8,7,1498,267.4405874499332,194.26034712950602
Normal__N_6.jpg,9,T9,1,2978,291.474479516454,183.50973807924782
Normal__N_6.jpg,10,T10,2,2828,321.6895332390382,182.73055162659122
Normal__N_6.jpg,10,T10,5,32,324.96875,127.125
Normal__N_6.jpg,10,T10,7,77,332.7792207792208,134.75324675324674
Normal__N_6.jpg,11,T11,2,2965,348.49409780775716,173.62900505902192
Normal__N_6.jpg,11,T11,7,31,360.741935483871,113.90322580645162
Normal__N_6.jpg,12,T12,1,4294,380.37680484396833,172.53935724266418
Normal__N_6.jpg,12,T12,2,84,357.5595238095238,172.75
Normal__N_6.jpg,13,L1,1,5244,418.9006483600305,165.87604881769641
Normal__N_6.jpg,14,L2,2,4352,454.5670955882353,165.08547794117646
Normal__N_6.jpg,15,L3,1,4586,488.00196249454865,153.44352376798955
Normal__N_6.jpg,15,L3,13,371,516.0512129380054,214.5202156334232
Normal__N_6.jpg,16,L4,1,6817,532.5687252457093,141.68373184685345
