class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7451371.0,7239002.0,0.9430162188529901,0.8921766215084795,background
1,T1,84238.0,68688.0,0.6616664269014969,0.49439574722235846,thoracic
2,T2,96281.0,124505.0,0.5417644234709548,0.37152050889015636,thoracic
3,T3,143274.0,121779.0,0.36997128876349267,0.2269722528296795,thoracic
4,T4,82532.0,121576.0,0.16360946166165163,0.08909295612803361,thoracic
5,T5,93953.0,113781.0,0.20177727286240202,0.11220927742797678,thoracic
6,T6,100233.0,121046.0,0.14278806394125612,0.076883020819069,thoracic
7,T7,81135.0,127588.0,0.21056615706361748,0.11767194294387263,thoracic
8,T8,122073.0,115384.0,0.17689097394822265,0.09702709570535664,thoracic
9,T9,69127.0,127056.0,0.2572801924771398,0.14763141577370847,thoracic
10,T10,52236.0,120484.0,0.25141269106501035,0.14378046196795016,thoracic
11,T11,87144.0,125391.0,0.3002046721749349,0.17661224693618213,thoracic
12,T12,101922.0,144898.0,0.3539988655726683,0.21506599125097808,thoracic
13,L1,114459.0,118887.0,0.4097349001079524,0.2576519475519823,lumbar
14,L2,108411.0,122013.0,0.39678158525415413,0.24749066104029294,lumbar
15,L3,134889.0,120040.0,0.4850448556284885,0.3201711004007179,lumbar
16,L4,139475.0,105729.0,0.48390727720802307,0.31918052895844984,lumbar
17,L5,153247.0,78153.0,0.3577441659491886,0.21783704982807214,lumbar
