class_id,class_name,pixel_count,weight
0,background,23090928.0,0.5
1,T1,225898.0,1.3228141070541999
2,T2,387508.0,1.009984419723906
3,T3,351221.0,1.0608763630134763
4,T4,360884.0,1.046577025399168
5,T5,378324.0,1.022169844080232
6,T6,373229.0,1.029123084608372
7,T7,390654.0,1.005909414828864
8,T8,414419.0,0.9766415154511808
9,T9,402169.0,0.9914041101957469
10,T10,417418.0,0.9731267799207094
11,T11,394522.0,1.000966165264075
12,T12,406579.0,0.9860127687273397
13,L1,373445.0,1.0288254199740807
14,L2,382750.0,1.0162426346941078
15,L3,364646.0,1.041164336883934
16,L4,308834.0,1.1313382157110863
17,L5,262990.0,1.2259856678427021
