class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7180442.0,7239002.0,0.9535808731598837,0.9112800489794456,background
1,T1,84581.0,68688.0,0.660342274043281,0.4929186472425299,thoracic
2,T2,101495.0,124505.0,0.5317787610640187,0.36219252723262635,thoracic
3,T3,150505.0,121779.0,0.3733895491495152,0.22955068864651365,thoracic
4,T4,95313.0,121576.0,0.17241999364111402,0.09434333547388961,thoracic
5,T5,107134.0,113781.0,0.2038431070809866,0.1134884752487992,thoracic
6,T6,122378.0,121046.0,0.15211318522761882,0.08231737139708187,thoracic
7,T7,115849.0,127588.0,0.2304744143280172,0.13024644356530546,thoracic
8,T8,154098.0,115384.0,0.18705516509753134,0.10317752724722169,thoracic
9,T9,89164.0,127056.0,0.25741374526289235,0.1477193708874218,thoracic
10,T10,65898.0,120484.0,0.26292238521282674,0.15135903138651247,thoracic
11,T11,112842.0,125391.0,0.29546704277201113,0.17334193599634876,thoracic
12,T12,126460.0,144898.0,0.3563926620945157,0.21683564795443633,thoracic
13,L1,134140.0,118887.0,0.3963529583823214,0.24715722855415603,lumbar
14,L2,120970.0,122013.0,0.3897638929497546,0.2420538772210701,lumbar
15,L3,147390.0,120040.0,0.477186553492588,0.3133585105842004,lumbar
16,L4,148766.0,105729.0,0.47742391795721945,0.31356325873671664,lumbar
17,L5,158575.0,78153.0,0.35377310669057405,0.21489936055090017,lumbar
